proposal_id,investigator_id,investigator_name,career_stage,college_code,college_name,sponsor_id,sponsor_name,sponsor_type,proposal_type,submission_date,submission_month,fiscal_year,requested_amount,proposal_status,award_id,awarded_amount,decision_date,days_to_decision,award_start_date,award_end_date
LP-2025-00015,R0021,Victor Singh,Established,BUS,School of Business,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2025-04-30,2025-04,FY25,123800,Not Funded,,0,2025-08-24,116,,
LP-2024-00016,R0170,Noah Johnson,Established,ENG,College of Engineering,S007,Department of Energy and Climate,Government,Research Project,2024-07-25,2024-07,FY25,51600,Not Funded,,0,2024-09-01,38,,
LP-2024-00017,R0170,Noah Johnson,Established,ENG,College of Engineering,S019,Apex Biotechnologies,Industry,Internal Seed,2024-01-26,2024-01,FY24,80000,Closed,AW2-2024-00017,71200,2024-06-26,152,2024-09-02,2026-09-02
LP-2026-00018,R0012,Samira Kim,Early Career,HUM,College of Humanities,S021,Vertex Mobility Systems,Industry,Internal Seed,2026-08-11,2026-08,FY27,154000,Under Review,,0,,,,
LP-2023-00019,R0179,Rafael Reyes,Early Career,SOC,College of Social Innovation,S001,National Health Research Council,Federal,Research Project,2023-05-01,2023-05,FY23,102500,Closed,AW2-2023-00019,81100,2023-09-04,126,2023-10-30,2025-10-29
LP-2023-00020,R0004,Yara Lee,Established,HUM,College of Humanities,S001,National Health Research Council,Federal,Training Grant,2023-10-14,2023-10,FY24,61600,Not Funded,,0,2024-01-26,104,,
LP-2023-00021,R0089,Rafael Reyes,Established,LAW,School of Law and Public Policy,S023,Internal Strategic Research Fund,Internal,Research Project,2023-01-31,2023-01,FY23,145600,Closed,AW2-2023-00021,100000,2023-07-30,180,2023-09-21,2025-03-14
LP-2024-00022,R0114,Mei Tran,Early Career,ENG,College of Engineering,S014,Biomedical Discovery Foundation,Foundation,Research Project,2024-08-29,2024-08,FY25,65200,Closed,AW2-2024-00022,59600,2024-11-11,74,2024-12-21,2025-12-21
LP-2025-00023,R0060,Amina Ahmed,Established,HUM,College of Humanities,S013,Education Access Foundation,Foundation,Research Project,2025-07-27,2025-07,FY26,283000,Not Funded,,0,2025-09-03,38,,
LP-2024-00024,R0099,Carlos Ito,Senior,SOC,College of Social Innovation,S006,Department of Public Health,Government,Research Project,2024-07-08,2024-07,FY25,261300,Withdrawn,,0,2024-10-02,86,,
LP-2023-00025,R0054,Mei Tran,Established,SCI,College of Science,S006,Department of Public Health,Government,Research Project,2023-02-04,2023-02,FY23,62500,Closed,AW2-2023-00025,58500,2023-06-14,130,2023-06-28,2025-06-27
LP-2023-00026,R0096,Jamal Garcia,Established,ARC,College of Architecture and Design,S015,Civic Data Collaborative,Nonprofit,Equipment,2023-11-28,2023-11,FY24,20700,Closed,AW2-2023-00026,16600,2024-05-19,173,2024-05-31,2027-05-31
LP-2023-00027,R0165,Leila Martin,Early Career,BUS,School of Business,S013,Education Access Foundation,Foundation,Training Grant,2023-02-10,2023-02,FY23,470000,Active,AW2-2023-00027,308300,2023-04-05,54,2023-06-13,2026-06-12
LP-2025-00028,R0163,Arjun Thomas,Early Career,SOC,College of Social Innovation,S001,National Health Research Council,Federal,Research Project,2025-08-07,2025-08,FY26,129300,Awarded,AW2-2025-00028,82100,2025-12-29,144,2026-01-18,2027-07-12
LP-2023-00029,R0082,Chloe Chen,Established,ENG,College of Engineering,S013,Education Access Foundation,Foundation,Training Grant,2023-12-13,2023-12,FY24,209100,Closed,AW2-2023-00029,141400,2024-02-22,71,2024-04-15,2025-10-07
LP-2025-00030,R0093,Olivia Costa,Early Career,BUS,School of Business,S005,National Science Foundation,Federal,Fellowship,2025-09-01,2025-09,FY26,133700,Not Funded,,0,2025-10-10,39,,
LP-2025-00031,R0059,Rafael Reyes,Senior,SOC,College of Social Innovation,S004,Advanced Technology Agency,Federal,Equipment,2025-01-16,2025-01,FY25,56700,Active,AW2-2025-00031,37000,2025-04-28,102,2025-07-07,2028-07-06
LP-2024-00032,R0164,Gabriel Dubois,Senior,HUM,College of Humanities,S002,Natural Sciences Research Council,Federal,Research Project,2024-06-07,2024-06,FY24,74200,Active,AW2-2024-00032,51500,2024-09-13,98,2024-10-04,2026-03-28
LP-2024-00033,R0105,Leila Martin,Established,LAW,School of Law and Public Policy,S002,Natural Sciences Research Council,Federal,Fellowship,2024-08-10,2024-08,FY25,392400,Not Funded,,0,2024-11-03,85,,
LP-2026-00034,R0122,Jonah Smith,Established,ENG,College of Engineering,S011,Community Wellbeing Trust,Foundation,Internal Seed,2026-02-12,2026-02,FY26,50100,Not Funded,,0,2026-06-28,136,,
LP-2025-00035,R0084,Mei Tran,Senior,HUM,College of Humanities,S025,Interdisciplinary Catalyst Fund,Internal,Internal Seed,2025-03-21,2025-03,FY25,32900,Not Funded,,0,2025-06-11,82,,
LP-2024-00036,R0090,Amina Ahmed,Established,ENG,College of Engineering,S010,Global Health Foundation,Foundation,Research Project,2024-07-02,2024-07,FY25,57500,Active,AW2-2024-00036,41600,2024-08-06,35,2024-09-06,2025-09-06
LP-2024-00037,R0089,Rafael Reyes,Established,LAW,School of Law and Public Policy,S019,Apex Biotechnologies,Industry,Equipment,2024-10-14,2024-10,FY25,44900,Withdrawn,,0,2025-01-01,79,,
LP-2023-00038,R0151,Fatima Khan,Early Career,HSC,College of Health Sciences,S019,Apex Biotechnologies,Industry,Research Project,2023-03-06,2023-03,FY23,382400,Closed,AW2-2023-00038,302100,2023-08-12,159,2023-09-16,2025-03-09
LP-2026-00039,R0027,Grace Williams,Early Career,SOC,College of Social Innovation,S003,Social Innovation Research Council,Federal,Research Project,2026-02-13,2026-02,FY26,108500,Not Funded,,0,2026-05-18,94,,
LP-2025-00040,R0143,Isabelle Laurent,Early Career,HSC,College of Health Sciences,S014,Biomedical Discovery Foundation,Foundation,Research Project,2025-03-27,2025-03,FY25,142600,Active,AW2-2025-00040,104700,2025-07-09,104,2025-09-18,2027-09-18
LP-2024-00041,R0079,Jia Zhou,Established,HSC,College of Health Sciences,S010,Global Health Foundation,Foundation,Research Project,2024-03-14,2024-03,FY24,40700,Not Funded,,0,2024-04-26,43,,
LP-2024-00042,R0060,Amina Ahmed,Established,HUM,College of Humanities,S001,National Health Research Council,Federal,Research Project,2024-08-14,2024-08,FY25,112400,Not Funded,,0,2024-12-18,126,,
LP-2026-00043,R0059,Rafael Reyes,Senior,SOC,College of Social Innovation,S024,Faculty Seed Grant Program,Internal,Research Project,2026-03-13,2026-03,FY26,182300,Active,AW2-2026-00043,163800,2026-07-11,120,2026-07-24,2027-07-24
LP-2023-00044,R0092,Jonah Smith,Early Career,HUM,College of Humanities,S001,National Health Research Council,Federal,Research Project,2023-12-21,2023-12,FY24,73800,Not Funded,,0,2024-06-18,180,,
LP-2026-00045,R0144,Mei Tran,Early Career,ARC,College of Architecture and Design,S022,Helix Medical Devices,Industry,Research Project,2026-04-10,2026-04,FY26,15000,Awarded,AW2-2026-00045,10700,2026-08-09,121,2026-10-11,2028-10-10
LP-2025-00046,R0171,Victor Singh,Early Career,SOC,College of Social Innovation,S013,Education Access Foundation,Foundation,Research Project,2025-10-17,2025-10,FY26,81500,Active,AW2-2025-00046,55500,2026-03-01,135,2026-03-30,2029-03-29
LP-2026-00047,R0102,Samira Kim,Established,SCI,College of Science,S014,Biomedical Discovery Foundation,Foundation,Research Project,2026-05-13,2026-05,FY26,53700,Under Review,,0,,,,
LP-2023-00048,R0029,Rafael Reyes,Established,BUS,School of Business,S021,Vertex Mobility Systems,Industry,Research Project,2023-01-28,2023-01,FY23,410600,Active,AW2-2023-00048,343900,2023-07-01,154,2023-07-16,2026-07-15
LP-2025-00049,R0010,Hana Roy,Early Career,ENG,College of Engineering,S021,Vertex Mobility Systems,Industry,Research Project,2025-11-16,2025-11,FY26,357100,Not Funded,,0,2026-02-16,92,,
LP-2025-00050,R0103,Arjun Thomas,Established,HSC,College of Health Sciences,S002,Natural Sciences Research Council,Federal,Research Project,2025-06-10,2025-06,FY25,15000,Active,AW2-2025-00050,11700,2025-11-15,158,2026-01-07,2027-07-01
LP-2026-00051,R0026,Camille Mensah,Established,ENG,College of Engineering,S015,Civic Data Collaborative,Nonprofit,Training Grant,2026-01-20,2026-01,FY26,52400,Not Funded,,0,2026-03-25,64,,
LP-2024-00052,R0010,Hana Roy,Early Career,ENG,College of Engineering,S007,Department of Energy and Climate,Government,Training Grant,2024-03-29,2024-03,FY24,109500,Active,AW2-2024-00052,72900,2024-06-01,64,2024-07-04,2026-07-04
LP-2025-00053,R0007,Nadia Nguyen,Established,HSC,College of Health Sciences,S024,Faculty Seed Grant Program,Internal,Research Project,2025-09-17,2025-09,FY26,68200,Withdrawn,,0,2026-01-10,115,,
LP-2024-00054,R0123,Olivia Costa,Early Career,SOC,College of Social Innovation,S004,Advanced Technology Agency,Federal,Internal Seed,2024-04-06,2024-04,FY24,340600,Not Funded,,0,2024-09-21,168,,
LP-2025-00055,R0180,Amina Ahmed,Established,HUM,College of Humanities,S012,Future Cities Foundation,Foundation,Research Project,2025-08-10,2025-08,FY26,291300,Closed,AW2-2025-00055,255300,2025-11-09,91,2025-12-10,2028-12-09
LP-2024-00056,R0048,Elena Patel,Early Career,ARC,College of Architecture and Design,S003,Social Innovation Research Council,Federal,Research Project,2024-04-25,2024-04,FY24,56900,Closed,AW2-2024-00056,50600,2024-06-29,65,2024-08-10,2026-08-10
LP-2025-00057,R0131,Maya Bennett,Established,SOC,College of Social Innovation,S014,Biomedical Discovery Foundation,Foundation,Research Project,2025-05-18,2025-05,FY25,73400,Not Funded,,0,2025-08-23,97,,
LP-2023-00058,R0119,Rafael Reyes,Established,HSC,College of Health Sciences,S020,Northstar Analytics,Industry,Research Project,2023-04-03,2023-04,FY23,195500,Active,AW2-2023-00058,190900,2023-07-31,119,2023-09-25,2026-09-24
LP-2025-00059,R0112,Chloe Chen,Early Career,ARC,College of Architecture and Design,S016,Urban Resilience Network,Nonprofit,Equipment,2025-01-03,2025-01,FY25,150400,Not Funded,,0,2025-04-09,96,,
LP-2023-00060,R0147,Grace Williams,Early Career,SOC,College of Social Innovation,S023,Internal Strategic Research Fund,Internal,Research Project,2023-10-29,2023-10,FY24,222600,Active,AW2-2023-00060,202500,2024-01-08,71,2024-03-21,2026-03-21
LP-2023-00061,R0088,Lucas Haddad,Early Career,ARC,College of Architecture and Design,S024,Faculty Seed Grant Program,Internal,Research Project,2023-08-10,2023-08,FY24,71300,Not Funded,,0,2023-11-27,109,,
LP-2024-00062,R0158,Theo Yamamoto,Established,SCI,College of Science,S020,Northstar Analytics,Industry,Research Project,2024-12-04,2024-12,FY25,105100,Active,AW2-2024-00062,71700,2025-01-11,38,2025-02-27,2026-02-27
LP-2023-00063,R0145,Sofia Evans,Senior,LAW,School of Law and Public Policy,S003,Social Innovation Research Council,Federal,Research Project,2023-08-05,2023-08,FY24,121900,Not Funded,,0,2023-10-10,66,,
LP-2024-00064,R0074,Gabriel Dubois,Established,ENG,College of Engineering,S012,Future Cities Foundation,Foundation,Fellowship,2024-09-14,2024-09,FY25,167700,Active,AW2-2024-00064,141700,2024-12-01,78,2025-02-05,2027-02-05
LP-2025-00065,R0068,Theo Yamamoto,Established,HUM,College of Humanities,S006,Department of Public Health,Government,Equipment,2025-01-14,2025-01,FY25,290100,Active,AW2-2025-00065,217500,2025-05-13,119,2025-06-07,2026-06-07
LP-2025-00066,R0136,Priya Wang,Senior,ARC,College of Architecture and Design,S020,Northstar Analytics,Industry,Fellowship,2025-08-14,2025-08,FY26,102300,Active,AW2-2025-00066,84700,2025-10-28,75,2026-01-11,2027-07-05
LP-2024-00067,R0013,Arjun Thomas,Established,BUS,School of Business,S008,Ontario Research Fund,Provincial/State,Research Project,2024-01-23,2024-01,FY24,250600,Closed,AW2-2024-00067,181600,2024-04-18,86,2024-05-20,2027-05-20
LP-2023-00068,R0107,Zain Gupta,Early Career,SOC,College of Social Innovation,S025,Interdisciplinary Catalyst Fund,Internal,Fellowship,2023-02-19,2023-02,FY23,203800,Closed,AW2-2023-00068,197700,2023-07-19,150,2023-09-08,2025-03-01
LP-2026-00069,R0068,Theo Yamamoto,Established,HUM,College of Humanities,S005,National Science Foundation,Federal,Research Project,2026-02-05,2026-02,FY26,221800,Not Funded,,0,2026-03-15,38,,
LP-2026-00070,R0075,Leila Martin,Established,SOC,College of Social Innovation,S004,Advanced Technology Agency,Federal,Fellowship,2026-02-28,2026-02,FY26,92000,Not Funded,,0,2026-05-20,81,,
LP-2025-00071,R0151,Fatima Khan,Early Career,HSC,College of Health Sciences,S005,National Science Foundation,Federal,Training Grant,2025-10-21,2025-10,FY26,215100,Not Funded,,0,2026-01-15,86,,
LP-2023-00072,R0047,Zain Gupta,Senior,HSC,College of Health Sciences,S001,National Health Research Council,Federal,Research Project,2023-06-17,2023-06,FY23,36300,Not Funded,,0,2023-12-14,180,,
LP-2024-00073,R0024,Mei Tran,Established,ARC,College of Architecture and Design,S001,National Health Research Council,Federal,Research Project,2024-12-04,2024-12,FY25,272000,Not Funded,,0,2025-02-22,80,,
LP-2023-00074,R0122,Jonah Smith,Established,ENG,College of Engineering,S008,Ontario Research Fund,Provincial/State,Equipment,2023-03-03,2023-03,FY23,96100,Active,AW2-2023-00074,90400,2023-06-18,107,2023-08-24,2026-08-23
LP-2023-00075,R0035,Daniel Walker,Established,SOC,College of Social Innovation,S013,Education Access Foundation,Foundation,Research Project,2023-03-02,2023-03,FY23,46500,Not Funded,,0,2023-08-20,171,,
LP-2024-00076,R0066,Jamal Garcia,Established,ENG,College of Engineering,S002,Natural Sciences Research Council,Federal,Research Project,2024-12-30,2024-12,FY25,1228500,Not Funded,,0,2025-03-18,78,,
LP-2025-00077,R0110,Noah Johnson,Early Career,SCI,College of Science,S006,Department of Public Health,Government,Training Grant,2025-09-16,2025-09,FY26,314600,Closed,AW2-2025-00077,292800,2025-11-07,52,2025-11-23,2027-11-23
LP-2025-00078,R0101,Maya Bennett,Established,BUS,School of Business,S017,International Research Consortium,International,Research Project,2025-12-27,2025-12,FY26,164600,Awarded,AW2-2025-00078,154300,2026-03-07,70,2026-04-17,2029-04-16
LP-2024-00079,R0090,Amina Ahmed,Established,ENG,College of Engineering,S011,Community Wellbeing Trust,Foundation,Research Project,2024-02-28,2024-02,FY24,193300,Closed,AW2-2024-00079,153500,2024-05-03,65,2024-06-23,2025-12-15
LP-2024-00080,R0119,Rafael Reyes,Established,HSC,College of Health Sciences,S010,Global Health Foundation,Foundation,Training Grant,2024-08-18,2024-08,FY25,747300,Closed,AW2-2024-00080,723700,2024-12-14,118,2025-02-21,2026-02-21
LP-2023-00081,R0065,Daniel Walker,Established,LAW,School of Law and Public Policy,S019,Apex Biotechnologies,Industry,Research Project,2023-07-09,2023-07,FY24,437800,Not Funded,,0,2023-11-29,143,,
LP-2023-00082,R0069,Carlos Ito,Established,BUS,School of Business,S014,Biomedical Discovery Foundation,Foundation,Research Project,2023-11-22,2023-11,FY24,20900,Active,AW2-2023-00082,19800,2024-05-03,163,2024-06-09,2026-06-09
LP-2024-00083,R0133,Arjun Thomas,Early Career,BUS,School of Business,S025,Interdisciplinary Catalyst Fund,Internal,Equipment,2024-03-10,2024-03,FY24,175700,Not Funded,,0,2024-05-18,69,,
LP-2024-00084,R0077,Zain Gupta,Established,BUS,School of Business,S019,Apex Biotechnologies,Industry,Research Project,2024-07-17,2024-07,FY25,144000,Not Funded,,0,2025-01-12,179,,
LP-2024-00085,R0144,Mei Tran,Early Career,ARC,College of Architecture and Design,S018,Global Development Partnership,International,Research Project,2024-06-18,2024-06,FY24,138000,Not Funded,,0,2024-08-25,68,,
LP-2025-00086,R0031,Fatima Khan,Established,HSC,College of Health Sciences,S025,Interdisciplinary Catalyst Fund,Internal,Internal Seed,2025-02-08,2025-02,FY25,143200,Not Funded,,0,2025-03-19,39,,
LP-2025-00087,R0095,Daniel Walker,Early Career,HSC,College of Health Sciences,S002,Natural Sciences Research Council,Federal,Research Project,2025-06-29,2025-06,FY25,212200,Closed,AW2-2025-00087,166200,2025-09-17,80,2025-11-02,2028-11-01
LP-2025-00088,R0151,Fatima Khan,Early Career,HSC,College of Health Sciences,S015,Civic Data Collaborative,Nonprofit,Research Project,2025-10-07,2025-10,FY26,107400,Awarded,AW2-2025-00088,72300,2026-02-02,118,2026-03-14,2027-09-05
LP-2023-00089,R0027,Grace Williams,Early Career,SOC,College of Social Innovation,S006,Department of Public Health,Government,Research Project,2023-05-04,2023-05,FY23,106400,Closed,AW2-2023-00089,103400,2023-08-29,117,2023-10-18,2025-04-10
LP-2023-00090,R0123,Olivia Costa,Early Career,SOC,College of Social Innovation,S001,National Health Research Council,Federal,Training Grant,2023-11-21,2023-11,FY24,98900,Closed,AW2-2023-00090,96100,2024-02-10,81,2024-03-09,2025-03-09
LP-2024-00091,R0095,Daniel Walker,Early Career,HSC,College of Health Sciences,S020,Northstar Analytics,Industry,Research Project,2024-02-18,2024-02,FY24,23400,Closed,AW2-2024-00091,22200,2024-05-20,92,2024-06-27,2026-06-27
LP-2026-00092,R0060,Amina Ahmed,Established,HUM,College of Humanities,S018,Global Development Partnership,International,Fellowship,2026-01-13,2026-01,FY26,73500,Active,AW2-2026-00092,69100,2026-03-22,68,2026-05-31,2028-05-30
LP-2023-00093,R0034,Yara Lee,Established,ENG,College of Engineering,S007,Department of Energy and Climate,Government,Research Project,2023-07-06,2023-07,FY24,319500,Withdrawn,,0,2023-09-08,64,,
LP-2023-00094,R0018,Elena Patel,Established,ENG,College of Engineering,S009,Massachusetts Innovation Fund,Provincial/State,Internal Seed,2023-04-29,2023-04,FY23,134800,Not Funded,,0,2023-06-19,51,,
LP-2025-00095,R0177,Grace Williams,Established,LAW,School of Law and Public Policy,S014,Biomedical Discovery Foundation,Foundation,Research Project,2025-10-28,2025-10,FY26,50400,Not Funded,,0,2026-04-01,155,,
LP-2024-00096,R0023,Isabelle Laurent,Established,HSC,College of Health Sciences,S001,National Health Research Council,Federal,Research Project,2024-08-11,2024-08,FY25,37500,Closed,AW2-2024-00096,24300,2024-09-20,40,2024-11-27,2027-11-27
LP-2025-00097,R0005,Daniel Walker,Early Career,BUS,School of Business,S003,Social Innovation Research Council,Federal,Research Project,2025-12-03,2025-12,FY26,224000,Closed,AW2-2025-00097,145800,2026-06-04,183,2026-06-21,2027-12-13
LP-2023-00098,R0096,Jamal Garcia,Established,ARC,College of Architecture and Design,S001,National Health Research Council,Federal,Research Project,2023-10-09,2023-10,FY24,66800,Active,AW2-2023-00098,45800,2023-12-12,64,2024-01-19,2026-01-18
LP-2024-00099,R0176,Camille Mensah,Early Career,ARC,College of Architecture and Design,S011,Community Wellbeing Trust,Foundation,Research Project,2024-07-22,2024-07,FY25,56700,Active,AW2-2024-00099,49100,2025-01-25,187,2025-03-25,2027-03-25
LP-2025-00100,R0054,Mei Tran,Established,SCI,College of Science,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2025-06-06,2025-06,FY25,68700,Not Funded,,0,2025-08-31,86,,
LP-2025-00101,R0101,Maya Bennett,Established,BUS,School of Business,S010,Global Health Foundation,Foundation,Research Project,2025-10-16,2025-10,FY26,56100,Active,AW2-2025-00101,38900,2026-02-07,114,2026-02-19,2027-08-13
LP-2024-00102,R0148,Lucas Haddad,Established,HUM,College of Humanities,S003,Social Innovation Research Council,Federal,Research Project,2024-11-13,2024-11,FY25,62000,Active,AW2-2024-00102,51200,2025-03-08,115,2025-05-03,2026-05-03
LP-2026-00103,R0008,Theo Yamamoto,Senior,ARC,College of Architecture and Design,S003,Social Innovation Research Council,Federal,Internal Seed,2026-05-30,2026-05,FY26,440500,Under Review,,0,,,,
LP-2023-00104,R0083,Isabelle Laurent,Established,SOC,College of Social Innovation,S014,Biomedical Discovery Foundation,Foundation,Fellowship,2023-12-01,2023-12,FY24,58400,Not Funded,,0,2024-03-09,99,,
LP-2026-00105,R0179,Rafael Reyes,Early Career,SOC,College of Social Innovation,S001,National Health Research Council,Federal,Internal Seed,2026-05-16,2026-05,FY26,206300,Not Funded,,0,2026-06-20,35,,
LP-2023-00106,R0088,Lucas Haddad,Early Career,ARC,College of Architecture and Design,S005,National Science Foundation,Federal,Research Project,2023-08-29,2023-08,FY24,80800,Closed,AW2-2023-00106,55800,2024-02-22,177,2024-03-13,2025-09-04
LP-2024-00107,R0089,Rafael Reyes,Established,LAW,School of Law and Public Policy,S016,Urban Resilience Network,Nonprofit,Internal Seed,2024-08-30,2024-08,FY25,545800,Closed,AW2-2024-00107,445200,2024-12-20,112,2025-01-10,2027-01-10
LP-2026-00108,R0160,Hana Roy,Established,ARC,College of Architecture and Design,S022,Helix Medical Devices,Industry,Research Project,2026-06-21,2026-06,FY26,168300,Under Review,,0,,,,
LP-2023-00109,R0092,Jonah Smith,Early Career,HUM,College of Humanities,S015,Civic Data Collaborative,Nonprofit,Research Project,2023-12-25,2023-12,FY24,510700,Withdrawn,,0,2024-05-24,151,,
LP-2026-00110,R0112,Chloe Chen,Early Career,ARC,College of Architecture and Design,S013,Education Access Foundation,Foundation,Equipment,2026-03-19,2026-03,FY26,164000,Not Funded,,0,2026-08-14,148,,
LP-2023-00111,R0165,Leila Martin,Early Career,BUS,School of Business,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2023-09-10,2023-09,FY24,90900,Withdrawn,,0,2023-11-21,72,,
LP-2024-00112,R0038,Theo Yamamoto,Senior,SCI,College of Science,S003,Social Innovation Research Council,Federal,Fellowship,2024-04-11,2024-04,FY24,112100,Active,AW2-2024-00112,102000,2024-09-30,172,2024-10-10,2026-10-10
LP-2024-00113,R0158,Theo Yamamoto,Established,SCI,College of Science,S010,Global Health Foundation,Foundation,Training Grant,2024-09-15,2024-09,FY25,81700,Active,AW2-2024-00113,81000,2024-10-27,42,2024-11-07,2026-11-07
LP-2023-00114,R0095,Daniel Walker,Early Career,HSC,College of Health Sciences,S023,Internal Strategic Research Fund,Internal,Internal Seed,2023-01-12,2023-01,FY23,31600,Active,AW2-2023-00114,26600,2023-03-12,59,2023-05-25,2024-05-24
LP-2023-00115,R0099,Carlos Ito,Senior,SOC,College of Social Innovation,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2023-07-19,2023-07,FY24,120600,Closed,AW2-2023-00115,83700,2023-12-11,145,2024-01-20,2025-01-19
LP-2023-00116,R0013,Arjun Thomas,Established,BUS,School of Business,S014,Biomedical Discovery Foundation,Foundation,Research Project,2023-04-13,2023-04,FY23,84500,Withdrawn,,0,2023-06-12,60,,
LP-2025-00117,R0143,Isabelle Laurent,Early Career,HSC,College of Health Sciences,S018,Global Development Partnership,International,Equipment,2025-12-03,2025-12,FY26,15000,Not Funded,,0,2026-04-21,139,,
LP-2024-00118,R0083,Isabelle Laurent,Established,SOC,College of Social Innovation,S022,Helix Medical Devices,Industry,Research Project,2024-01-13,2024-01,FY24,100600,Not Funded,,0,2024-03-09,56,,
LP-2024-00119,R0113,Isabelle Laurent,Established,LAW,School of Law and Public Policy,S001,National Health Research Council,Federal,Research Project,2024-05-21,2024-05,FY24,87400,Closed,AW2-2024-00119,65200,2024-08-15,86,2024-09-30,2027-09-30
LP-2026-00120,R0122,Jonah Smith,Established,ENG,College of Engineering,S001,National Health Research Council,Federal,Internal Seed,2026-04-18,2026-04,FY26,295900,Withdrawn,,0,2026-08-23,127,,
LP-2023-00121,R0147,Grace Williams,Early Career,SOC,College of Social Innovation,S001,National Health Research Council,Federal,Research Project,2023-06-30,2023-06,FY23,156800,Not Funded,,0,2023-09-17,79,,
LP-2026-00122,R0094,Yara Lee,Established,SCI,College of Science,S006,Department of Public Health,Government,Research Project,2026-07-06,2026-07,FY27,178300,Not Funded,,0,2026-08-31,56,,
LP-2024-00123,R0007,Nadia Nguyen,Established,HSC,College of Health Sciences,S005,National Science Foundation,Federal,Research Project,2024-09-25,2024-09,FY25,712900,Closed,AW2-2024-00123,506000,2025-01-17,114,2025-02-24,2026-08-18
LP-2023-00124,R0124,Yara Lee,Established,HUM,College of Humanities,S001,National Health Research Council,Federal,Equipment,2023-06-19,2023-06,FY23,105300,Not Funded,,0,2023-09-20,93,,
LP-2025-00125,R0119,Rafael Reyes,Established,HSC,College of Health Sciences,S007,Department of Energy and Climate,Government,Research Project,2025-12-24,2025-12,FY26,145200,Not Funded,,0,2026-03-18,84,,
